Event: id=22, msg='Guten morgen', date=Sun May 21 17:00:42 MSK 2017
Event: id=808, msg='Guten tag', date=Sun May 21 17:00:42 MSK 2017
Event: id=180, msg='Guten abbend', date=Sun May 21 17:00:42 MSK 2017
Event: id=725, msg='Guten morgen', date=Sun May 21 17:00:56 MSK 2017
Event: id=925, msg='Guten tag', date=Sun May 21 17:00:56 MSK 2017
Event: id=407, msg='Guten abbend', date=Sun May 21 17:00:56 MSK 2017
Event: id=978, msg='Guten morgen', date=Tue May 30 20:42:36 MSK 2017
Event: id=835, msg='Guten tag', date=Tue May 30 20:42:36 MSK 2017
Event: id=357, msg='Guten abbend', date=Tue May 30 20:42:36 MSK 2017
Event: id=109, msg='Guten morgen', date=Tue May 30 20:45:53 MSK 2017
Event: id=188, msg='Guten tag', date=Tue May 30 20:45:53 MSK 2017
Event: id=436, msg='Guten abbend', date=Tue May 30 20:45:53 MSK 2017
Event: id=766, msg='Guten morgen', date=Tue May 30 20:46:09 MSK 2017
Event: id=539, msg='Guten tag', date=Tue May 30 20:46:09 MSK 2017
Event: id=367, msg='Guten abbend', date=Tue May 30 20:46:09 MSK 2017
Event: id=20, msg='Guten morgen', date=Tue May 30 20:47:11 MSK 2017
Event: id=637, msg='Guten tag', date=Tue May 30 20:47:11 MSK 2017
Event: id=636, msg='Guten abbend', date=Tue May 30 20:47:11 MSK 2017
Event: id=26, msg='Guten morgen', date=Tue May 30 21:00:01 MSK 2017
Event: id=583, msg='Guten tag', date=Tue May 30 21:00:02 MSK 2017
Event: id=171, msg='Guten abbend', date=Tue May 30 21:00:02 MSK 2017
Event: id=972, msg='Guten morgen', date=Tue May 30 21:00:42 MSK 2017
Event: id=697, msg='Guten tag', date=Tue May 30 21:00:42 MSK 2017
Event: id=209, msg='Guten abbend', date=Tue May 30 21:00:42 MSK 2017
Event: id=935, msg='Guten morgen', date=Tue May 30 21:01:17 MSK 2017
Event: id=607, msg='Guten tag', date=Tue May 30 21:01:17 MSK 2017
Event: id=875, msg='Guten abbend', date=Tue May 30 21:01:17 MSK 2017
Event: id=652, msg='Guten morgen', date=Tue May 30 21:16:09 MSK 2017
Event: id=758, msg='Guten tag', date=Tue May 30 21:16:09 MSK 2017
Event: id=376, msg='Guten abbend', date=Tue May 30 21:16:09 MSK 2017
Event: id=569, msg='Guten morgen', date=Tue May 30 21:19:30 MSK 2017
Event: id=495, msg='Guten tag', date=Tue May 30 21:19:30 MSK 2017
Event: id=647, msg='Guten abbend', date=Tue May 30 21:19:30 MSK 2017
Event: id=85, msg='Guten morgen', date=Tue May 30 21:34:31 MSK 2017
Event: id=609, msg='Guten tag', date=Tue May 30 21:34:31 MSK 2017
Event: id=126, msg='Guten abbend', date=Tue May 30 21:34:31 MSK 2017
Event: id=516, msg='Guten morgen', date=Tue May 30 22:21:59 MSK 2017
Event: id=982, msg='Guten tag', date=Tue May 30 22:22:00 MSK 2017
Event: id=819, msg='Guten abbend', date=Tue May 30 22:22:00 MSK 2017
Event: id=356, msg='Guten morgen', date=Tue May 30 22:22:14 MSK 2017
Event: id=659, msg='Guten tag', date=Tue May 30 22:22:14 MSK 2017
Event: id=446, msg='Guten abbend', date=Tue May 30 22:22:14 MSK 2017
Event: id=869, msg='Guten morgen', date=Tue May 30 22:22:32 MSK 2017
Event: id=96, msg='Guten tag', date=Tue May 30 22:22:32 MSK 2017
Event: id=188, msg='Guten abbend', date=Tue May 30 22:22:32 MSK 2017
Event: id=489, msg='Guten morgen', date=Tue May 30 22:32:06 MSK 2017
Event: id=917, msg='Guten tag', date=Tue May 30 22:32:06 MSK 2017
Event: id=674, msg='Guten abbend', date=Tue May 30 22:32:06 MSK 2017
Event: id=485, msg='Guten morgen', date=Tue May 30 22:32:36 MSK 2017
Event: id=341, msg='Guten tag', date=Tue May 30 22:32:36 MSK 2017
Event: id=618, msg='Guten abbend', date=Tue May 30 22:32:36 MSK 2017
Event: id=748, msg='Guten morgen', date=Tue May 30 22:33:52 MSK 2017
Event: id=39, msg='Guten tag', date=Tue May 30 22:33:52 MSK 2017
Event: id=558, msg='Guten abbend', date=Tue May 30 22:33:52 MSK 2017
Event: id=963, msg='Guten morgen', date=Tue May 30 22:34:07 MSK 2017
Event: id=910, msg='Guten tag', date=Tue May 30 22:34:07 MSK 2017
Event: id=69, msg='Guten abbend', date=Tue May 30 22:34:07 MSK 2017
Event: id=359, msg='Guten morgen', date=Tue May 30 22:34:39 MSK 2017
Event: id=911, msg='Guten tag', date=Tue May 30 22:34:39 MSK 2017
Event: id=174, msg='Guten abbend', date=Tue May 30 22:34:39 MSK 2017
Event: id=437, msg='Guten morgen', date=Tue May 30 22:35:00 MSK 2017
Event: id=712, msg='Guten tag', date=Tue May 30 22:35:00 MSK 2017
Event: id=835, msg='Guten abbend', date=Tue May 30 22:35:00 MSK 2017
